Title,Output
emirates launches convenient arabic mobile site,0
emirates launches new toys for young travellers,0
‘surprise of the year’ for the ultimate emirates and airbus a380 fan,1
emirates introduces new generation in-flight entertainment system,0
emirates’ a380 to make a one-off trip to manila ,1
"emirates increases capacity to london, adds 10th daily service",1
emirates increases a380 services to australia,1
emirates increases service to los angeles with launch of second daily flight,1
emirates increases capacity to jeddah to thrice-daily a380 service,1
emirates increases service to boston with launch of second daily flight ,1
emirates increases phuket service to a double daily,1
emirates increases service to seattle with launch of second daily flight,1
emirates increases flights to beirut ,1
emirates increases capacity on its double daily seychelles service ,1
emirates increases capacity on its double daily nairobi service ,1
"emirates adds flights to khartoum, increasing connection options for customers",1
emirates increases capacity to jeddah to thrice-daily a380 service,1
emirates’ a380 to make a one-off trip to manila ,1
emirates to launch second service to dar es salaam,1
emirates to launch fourth daily flight to johannesburg,1
emirates celebrates 10 years in toronto,0
emirates’ eight daily london flights set to become all-a380 ,1
"emirates to launch third daily flight to cape town, south africa",1
"emirates expands switzerland operation, adds second daily service to geneva",1
"emirates adds flights to khartoum, increasing connection options for customers",1
emirates increases flights to beirut ,1
emirates to resume flights to conakry,1
emirates to resume flights to baghdad from september,1
emirates to restart flights to baghdad from 1 march,1
emirates to introduce additional flights to stockholm,1
emirates to deploy extra flights for the upcoming hajj season,1
emirates to launch daily flights to croatia,1
emirates’ eight daily london flights set to become all-a380 ,1
emirates set to double  flights to barcelona,1
emirates holidays see family bookings double for extended getaway  during uae national day,0
emirates offers special fares to europe’s most exciting destinations ,1
updated version - emirates anticipates a busy travel period during eid ,1
emirates and google join hands to launch “celebrating arabic reading”,0
"emirates’ boeing 777 fleet tops 859,000 flights",1
emirates offers special fares for short getaways this eid,1
emirates offers special fares for upcoming holiday season,1
emirates launches convenient arabic mobile site,0
need more time to decide? emirates introduces ‘hold my fare’ ,1
mesut özil brings football fever to dubai ,0
emirates opens access to its premium lounges at dubai international airport,0
emirates skywards partners with dubai duty free for miles redemption at dubai airports,1
nurturing small gloves with big dreams: emirates brings los angeles dodgers all-star players to dubai,0
emirates opens new lounge at cape town international airport,0
emirates partners with bmw group for its new fleet of chauffeur-drive cars,0
emirates hosts the in-flight premiere of national geographic’s “living in the age of airplanes” onboard an a380 aircraft,0
emirates welcomes its 100th boeing 777-300er ,1
emirates marks 10 years of its worldwide lounge network,0
need more time to decide? emirates introduces ‘hold my fare’ ,1
emirates expands travel choices for its customers with nine daily flights to doha,1
emirates expects busy travel period over the long national day weekend,1
emirates expects busy travel week ahead of holidays,1
emirates recognised in future travel experience airline passenger experience power list 2017,0
emirates skywards eases ground travel with careem partnership,0
emirates expects a busy travel weekend,1
emirates enhances connectivity for travel agents with ndc compliant online b2b api,0
emirates anticipates another peak travel week,0
emirates and ac milan surprise travellers,0
emirates expects busy spring break travel period,1
explore dubai for less with 'my emirates pass',0
emirates and dubai-based artist introduce ‘the icon collection’,0
emirates landing in dubai mall this weekend,0
emirates launches milestone dubai-auckland non-stop route,0
see you in dubai! ,1
emirates skywards partners with dubai duty free for miles redemption at dubai airports,0
emirates goes non-stop dubai-auckland from march ,1
the emirates a380 blossoms at dubai miracle garden ,1
emirates signs innovation mou with dubai civil aviation authority ,0
the emirates a380 and jetman dubai take to the skies of dubai for an unprecedented formation flight,1
emirates to deploy a380 on more routes in 2016 ,1
emirates to deploy flagship a380 on johannesburg route,1
emirates launches milestone dubai-auckland non-stop route,1
emirates and jetstar expand codeshare on more routes ,1
emirates to deploy flagship a380 aircraft on moscow route,1
emirates to expand capacity on non-stop dubai-auckland route with a380,1
emirates and flybe announce codeshare agreement on 25 uk routes,1
emirates celebrates successful first year on world’s longest a380 non-stop route,1
emirates group releases 5th annual environmental report,0
emirates growth strategy on track,0
emirates group releases 2016/17 annual environmental report,0
emirates group releases 6th annual environmental report,0
the emirates group’s 4th environmental report ,0
emirates flight training academy orders 27 aircraft ,0
emirates signs us$16 billion engine services deal with ge aviation for airline’s ge9x-powered boeing 777x fleet,0
emirates offers special fares for upcoming holiday season,1
emirates offers special fares for short getaways this eid,1
emirates signs an agreement with ras al khaimah government for special fares ,1
where will 2016 take you? say hello to new destinations with emirates’ global offers,1
where will 2016 take you? say hello to new destinations with emirates’ global offers,1
stay connected on over 100 emirates aircraft ,1
where will 2016 take you? say hello to new destinations with emirates’ global offers,1
emirates bids farewell to its last boeing 777-200,1
emirates offers special fares for short getaways this eid,1
emirates offers special fares from ksa,1
emirates offers special fares to its us network,1
emirates offers special fares to europe’s most exciting destinations ,1
 emirates offers special fares on the longest flight in the world,1
emirates offers special fare to select destinations,1
emirates offers special fares for upcoming holiday season,1
emirates offers special a380 fares to a host of destinations,1
emirates offers 44% of its fares to celebrate oman’s 44th national day   ,1
cargo rates from doha to major destinations in africa,1
additional one free baggage allowance from seychelles to selected destinations.,0
promotional fares for sales from 20 october till 31 october 17,1
book online and enjoy up to 20% discount,1
special offers from doha to zanzibar!,1
special offers from doha to mumbai,1
special companion offers to europe\n,1
pay with e-dahab mobile,0
book online and pay mobile,0
tropical storm - hato's potential impact to flights to/from hong kong,1
specials offers from doha to delhi,1
special offers from doha to djibouti,1
ethiopian provides the pay at airport option,0
special arrangement of flights to/from madagascar,1
new destination kaduna - 5th gateway to nigeria on 1 august,1
introduction of jcb card for online payment,0
discounts on flights to cca - ata’s tourism conference 2017,0
attractive cargo rate from doha to africa!,1
special cargo rates from doha to africa,1
ethiopia launches online entry visa application and issuance (e-visa),0
"attractive fares to dxb, cai, jed, ruh & dam!",1
discounts on flights to amage congress 2017,1
hong kong international travel expo 2017,0
ethiopian airlines to launch its operations to singapore,1
ethiopian cargo launches new website! ,0
star alliance launches 20th anniversary mileage competition,0
passengers notice travelling from lome,0
this summer new nonstop flights from milan malpensa to addis abeba,1
special cargo rates from doha,1
book online and enjoy 5% discount.,1
new direct flights between lomé - johannesburg\n,1
business class special offers,1
special arrangement of flights to/from nigeria ,1
special business class offers from mumbai to selected destinations,1
special cargo rates from doha,1
best fares to india,1
new destination,1
ethiopian world routes,1
ethiopian fourth frequency to kuala lumpur,1
"direct flights from oslo to add from 26 march, 2017!",1
"ethiopian airlines will start four weekly flights to victoria falls, zimbabwe",1
ethiopian airlines resumed sunday flights between entebbe and juba,1
"nonstop flights from stockholm to add from 26 march, 2017!",1
ethiopian airlines commence des vols réguliers en destination de antananarivo,0
ethiopian airlines to start flights to antananarivo,1
ethiopian to launch flights to jakarta,1
et will start to operate to oslo,1
our economy special offers,1
promotional fares to guangzhou\n ,1
fly to south africa for a discounted fare,1
new flights to new york,1
additional flights from niamey,1
prohibition of samsung galaxy note 7 on all ethiopian airlines flights,0
flight frequency increase to seychelles,1
aditionnal flight frequency to cotonou,1
ethiopian  have very competitive fares from cotonou to singapore,1
special fares to africa destinations,1
special fares to africa and european destinations\n,1
earn double mileage on flights into and out of lusaka,1
promotional fare to new york,1
special excess baggage rates,0
book your trip on www.ethiopianairlines.com and benefit more,1
impeccable business class service with amazing route,1
corporate travel program,0
a biometric passport is required for all south african travel,0
now you can use airtel to pay for your air tickets,0
newark route map,0
attractive c-9 fares for passengers departing from accra,1
be the first to like our facebook page,0
electronic travel authorization (eta) notification for passengers travelling to or transiting through canada,0
"local card and mobile payment options available, use and benefit more.",0
promotional fares,1
new payment option,0
immigration requirements of south africa for passengers when travelling with children.,0
qatar airways reinforces its commitment to russia with launch of daily direct flights to st. petersburg,1
qatar airways launches inaugural flight to st. petersburg – its second destination in russia,1
qatar airways celebrates strengthening its ties with thailand through gala dinner to launch its new service to chiang mai,1
qatar airways awarded three distinguished accolades by the global traveler tested reader survey awards,0
qatar airways continues expansion in europe and russia with additional non-stop flights,1
qatar airways cargo is the first international airline to launch dedicated freighter service to yangon,1
qatar airways reduces prices and doubles weight allowance for transporting domestic pets as baggage,0
"qatar airways to launch new service to thessaloniki, greece in march 2018",1
qatar airways celebrates five years of award-winning service to mozambique,0
qatar airways upgrades its doha-shiraz route to an airbus a330,1
qatar airways launches new flights to thai holiday destination pattaya,1
qatar airways joins usaid routes partnership to combat wildlife trafficking,0
qatar airways to launch service to exotic malaysian holiday destination penang,1
qatar airways wins 'best airline' award at the 2017 uk business traveller awards,0
qatar airways increases frequencies to eastern europe and the nordics,1
qatar airways extends new pre-select dining service to more long-haul routes from doha,0
qatar airways launches flights to russia’s st. petersburg as ambitious expansion plans continue,0
qatar airways celebrates its twentieth anniversary with thrilling air display over doha with the red arrows,0
qatar airways increases frequency to sohar,1
qatar airways announces launch of direct daily flights to cardiff,1
"qatar airways launches service to adana, turkey",1
qatar airways takes home two awards at this year’s future travel experience global awards ceremony,0
qatar airways to add additional frequency to kathmandu from september,1
qatar airways hosts press conference in prague to celebrate its inaugural flight to the czech capital,1
qatar airways launches pre-select dining service for premium passengers,0
qatar airways answers continued demand with additional daily non-stop flights to colombo and dhaka,1
qatar airways launches bespoke customer service channel with dedicated 24/7 social media support,0
qatar airways launches bespoke customer service channel with dedicated 24/7 social media support,0
qatar airways launches inaugural flight to sohar – its third destination in the sultanate of oman,1
sarajevo announced as the latest eastern european destination on qatar airways’ growing route map,1
qatar airways spreads it wings with more flights to asia,1
qatar airways continues year of growth and expansion with launch of flights to canberra,1
qatar airways boosts colombo service to four daily non-stop flights from 1 august 2017,1
qatar airways increases frequency to moscow with additional daily flight,1
qatar airways celebrates the arrival of its inaugural flight to skopje with a press conference and gala dinner,1
qatar airways launches ‘qatar airways summer reading programme’ in new york city with first book,0
"qatar airways launches new service to kyiv, ukraine",1
qatar airways celebrates official launch of new direct daily route to dublin with press conference,1
ban lifted on qatar airways flights to the united states for all personal electronic devices,0
qatar airways launches direct service to nice,1
qatar airways accelerates its global expansion with the launch of prague and sohar,1
qatar airways celebrates huge success at paris air show,0
"qatar airways’ global operations running smoothly, with majority of flights operating as scheduled",0
airline organised four chartered flights from ksa via muscat and kuwait,1
weekly freighter service will provide increased capacity to and from the united kingdom,1
new partnership will provide seamless helicopter travel for passengers between monaco and nice,1
qatar airways continues its ramadan tradition of offering passengers iftar meal boxes on board selected flights,0
qatar airways offers free doha stopover to passengers in transit in partnership with qatar tourism authority,0
qatar airways marks another successful year at the arabian travel market 2017,0
qatar airways cargo increases pharma express flights from basel,1
qatar airways plans increase in bangkok service to five daily non-stop flights from 1 june 2017,1
qatar airways brings revolutionary ‘qsuite’ to the middle east for first time with host of exciting product and destination announcements,0
qatar airways wins multiple awards at the annual business traveller middle east awards,0
qatar airways ranked best regional airline by money magazine’s 2017 “best in travel”,0
qatar airways offers free laptops on u.s. flights,0
europe’s finest horses travel in comfort to eppley,0
"qatar airways celebrates dana al fardan, the official composer of the qatar airways group",1
qatar airways concludes a spectacular week at itb berlin with the launch of a world first,1
qatar airways wows industry experts with global launch of new business class experience,1
qatar airways to unveil a world first in business class travel on the opening day of itb berlin,1
qatar airways announces service to yanbu and tabuk - its ninth and tenth destinations in saudi arabia,1
qatar airways launches service to skopje,1
qatar airways to reveal the future of business class travel at itb berlin 2017,1
new qatar airways flights offer the people of new zealand exciting new travel options,1
a historic moment for qatar airways as it launches the world’s longest flight on new auckland service,1
qatar airways executive board of directors announces the establishment of new company to manage and operate hamad international airport,0
travellers will enjoy a taste of chinese new year with qatar airways’ vibrant and celebratory on-board menu,0
qatar executive launches new website,0
qatar duty free and china unionpay international invite travellers to celebrate chinese new year with exclusive rewards,0
qatar airways and qatar duty free celebrate novak djokovic’s second consecutive win of the qatar 2017 atp world tour,0
qatar airways and qatar duty free celebrate the exxonmobil open men’s tennis 2017 tournament,0
etihad airways announces casablanca as new boeing 787 dreamliner destination,1
etihad airways introduces a range of comfort items and amenities for purchase on selected flights,0
etihad airways increases maldives frequency from daily to 11 flights a week in summer 2018,1
etihad airways swiss flights become all-boeing 787 dreamliner services,1
etihad airways showcases innovation to royalty at dubai airshow,0
etihad airways marks 10th anniversary of flights to nepal,0
etihad airways to suspend abu dhabi - dallas/fort worth route in 2018,1
etihad airways launches loungewear competition with emirati fashion designers,0
etihad airways to launch flights to azerbaijan,1
etihad airways improves timings on abu dhabi – medina route,1
etihad airways becomes first airline in region to offer automated credit card payment plans,0
fly now and pay later with etihad airways’ payment installment plans,0
etihad aviation group supports education for syrian children in jordan to celebrate year of giving,0
etihad airways and designer julien macdonald celebrate fashion at exclusive event in abu dhabi,0
etihad airways launches 'runway to runway' fashion film at new york fashion week,0
abu dhabi tops leading uk travel firm’s “most wanted” list for 2017,0
etihad airways increases frequency to egypt and nigeria,1
etihad airways introduces airbus a380 from abu dhabi to paris charles de gaulle,1
etihad airways increases middle east and north africa capacity to cater to growing summer demand,1
etihad airways aircraft operations rated as one of the cleanest and quietest by heathrow airport,0
"etihad airways offers free stopovers to all economy class guests from the middle east, africa & pakistan",1
etihad guest launches ramadan campaign in collaboration with emirates red crescent to support somalia in year of giving,0
etihad airways celebrates the delivery its 10th a380,0
etihad aviation group celebrates uae youth innovation at inaugural fikra awards,0
etihad airways to launch  a380 flights to paris,1
etihad airways and ellery celebrated 10-year milestones at mercedes-benz fashion week australia,0
etihad airways expands capacity to kerala marking 10th anniversary of flying to the southern indian state,0
etihad aviation group and emirates red crescent support group travelling for umrah as part of ‘year of giving’,0
model behaviour in abu dhabi as etihad airways launches 'runway to runway’ in the uae,0
etihad airways and strategic partner jet airways sign landmark tourism agreement with the state government of maharashtra,0
etihad airways launches 48 hour challenge to promote abu dhabi stopovers,0
etihad airways and emirates red crescent partnership launches new uae year of giving initiative,0
etihad airways reassures passengers of service and inflight offering following directive on us-bound flights,0
etihad airways and norland celebrate the graduation of the 2000th flying nanny,0
etihad airways to launch a380 flights to paris,1
etihad airways crowns darren hall winner of “taste the world” at taste of dubai,0
etihad airways secures iata certification for successful implementation of enhanced booking system,0
etihad airways to increase maldives frequency,1
"partnership strategy a core element of etihad growth, says group president and ceo",0
first commercial flammability test lab launched in the middle east,0
etihad expands madrid service to daily flights,1
etihad airways to increase dallas/fort worth service with daily flights beginning february 2017,1
animal welfare and conservation policy,0
etihad airways flies flag of excellence at world travel awards,0
etihad airways announces deployment of boeing 787 dreamliner on abu dhabi – riyadh route,1
etihad airways collaborates with leading fashion and skincare brands in first class ,0
"etihad airways and alitalia celebrate fashion, design and art at the milan fashion week",0
etihad airways to increase capacity to australia,1
etihad airways launches global sale with up to 50% off 45 popular destinations,1
etihad airways celebrates emirati women’s day,0
etihad airways brings its iconic suite the residence to bloomingdale’s – dubai,0
etihad airways medical centre collaborates with fatima college to sponsor emirati nurses,0
etihad airways celebrates four years in nigeria,0
etihad cargo launches luxury car service for summer 2016,0
abu dhabi global market and etihad airways become global strategic partners ,0
luxurious dreamliner flights to perth,1
etihad aviation group and partners boost financing platform strategy to us$1.2 billion,0
spirit of italy captured in new alitalia uniform collection launch by ettore bilotta,0
etihad airways celebrates airbus a380 debut in india,1
etihad airways’ flagship airbus a380 service to mumbai a sign of india’s importance to our growth strategy,1
mumbai reimagines luxury with etihad airways’ first airbus a380 service to india,1
etihad airways launches innovative mobile app,0
"partnership approach offers new model for airline competition, says eithad airways president and ceo",0
etihad airways awarded for best ife/connectivity launch by an airline 2016,0
national bank of abu dhabi becomes etihad airways’ middle east strategic partner,0
etihad airways increases weekly flights between south africa and united arab emirates,1
etihad holidays launches “abu dhabi: sunshine guaranteed or your next holiday for free” campaign,0
etihad airways supports great indian travel bazaar,0
abu dhabi - cairo flight frequency,1
etihad airways launches legal appeal to protect airberlin investment and ensure consumer choice,0
 etihad airways to introduce second a380 on the abu dhabi to london heathrow route,1
etihad airways celebrates arrival of inaugural alitalia flights from venice and milan,1
Partnership strategy a core element of Etihad growth,0
Etihad Airways presents an afternoon with Indian fashion couturier Manish Malhotra in Abu Dhabi,0
Etihad Airways introduces third daily flight to Riyadh,1
First commercial flammability test lab launched in the Middle East,0
Etihad Airways and Tanzania's Precision Air unveil codeshare agreement,0
Etihad Airways wins ‘World’s Leading Airline’ award for seventh consecutive year,0
Etihad Airways Engineering named MRO Service Provider of the Year,0
Etihad Airways invests in Adobe to power digital excellence,0
Etihad Airways to commence A380 services to Melbourne in June 2016,1
Alitalia aims for profitability by 2017 and speeds up its turnaround,0
Etihad Airways and partner airlines’ fundraising transaction increased to US$ 700 million,0
Etihad Airways and the Ministry of Environment and Water unite to combat illegal wildlife smuggling,0
Etihad Airways and Alitalia host official Chengdu Week at the Expo Milano joint pavilion,0
Italian trainees source new opportunities through Etihad Airways partnership,0
Etihad Airways selects Accenture to support business transformation program,0
Etihad Airways to introduce second A380 on the Abu Dhabi to London Heathrow route,1
Etihad Airways Celebrates Arrival of Inaugural Alitalia Flights from Venice And Milan,1
Etihad Airways takes Breast Cancer Awareness Campaign to Abu Dhabi International Airport,0
Etihad congratulates Nation’s Tri athletes,0
Etihad Airways' Emirati female engineers attend Global Women Aviation Conference,0
Emirates to Launch Third Daily Flight to Nairobi,1
Emirates introduces sustainable blankets made from 100% recycled plastic bottles,0
Emirates to Launch Daily Flights to Croatia,1
Emirates rounds off a year of growth with fleet and product milestones,0
Jet Airways launches innovative booking feature - 'Fare Lock',1
Jet Airways and Bangkok Airways enter into Frequent Flyer Partnership,1
Jet Airways announces special inaugural fares to new European gateway of Amsterdam,1
Jet Airways JetEscapes promotes India for guests from select Asian destinations this winter,1
Jet Airways to launch new daily flight from Delhi to Muscat,1
Jet Airways signs codeshare agreement with Korean Air,0
Jet Airways appoints Rahul Taneja as Chief People Officer,0
Jet Airways announces Global Sale with special fares for international travel,1
Jet Airways becomes largest Indian carrier to Bangkok,0
Jet Airways to offer most daily frequencies between Mumbai and Dubai,1
ICRA upgrades Jet Airways' ratings to investment grade,0
Jet Airways’ frequent flyer programme - JetPrivilege wins triple honours at the 9th Loyalty Awards 2016 in India,0
Jet Airways offers two free tickets daily under 'Luck-E-Ticket' offer,1
Jet Airways' JetEscapes offers tailor-made Valentine's Day getaway packages throughout February,0
Jet Airways declares highest ever quarterly profit of INR 467 crores in Q3 of FY16,0
Jet Airways to introduce new generation in-flight wireless streaming service,0
Jet Airways commences operations from Amsterdam,1
Chairman's message for the Brussels event,0
Jet Airways celebrates International Women's Day with flights operated by all-women crew,0
"Jet Airways to relocate domestic flight operations in Mumbai to Terminal 2 from March 15, 2016",1
Jet Airways and Etihad Airways unveil global fashion week sponsorship,0
Jet Airways' JetEscapes holidays attractive summer getaways,0
Jet Airways supports global initiative against wildlife trafficking,0
"Jet Airways group declares record annual profit of INR 1,212 crores for FY16; Reduces debt by INR 1,680 crores",0
"Jet Airways to offer Subway sandwiches, Krispy Kreme doughnuts onboard flights",0
Jet Airways doubles frequency to Dammam to twice daily from Mumbai and Delhi,1
ICICI Bank launches contactless Credit Card with Jet Airways for SMEs,0
Jet Airways to increase capacity on Mumbai-Singapore route by deploying a widebody Airbus A330 aircraft,1
Jet Airways and Eastern Bank Limited launch Bangladesh's first,1
"JetPrivilege wins the coveted ""210 Award"" at the prestigious 2016 Freddie Awards",0
Jet Airways conferred 'International Cargo Airline of the Year' at 4th GMR-IGI Airport Awards 2016,0
Jet Airways announces attractive return fares for travel from India to Europe,1
Jet Airways launches #JetAdvance,1
Jet Airways to expand connectivity to the Arabian Gulf region from Hyderabad and Mangaluru,1
IATA reappoints Jet Airways chairman Naresh Goyal to its board of governors,0
Jet Airways unveils #GetMore sale for domestic travel,0
Jet Airways announces sale to celebrate India's 69th Independence Day,0
Jet Airways' JetPrivilege achieves 5 million plus members milestone,0
Jet Airways and YouTooCanRun partner to promote running events across India,0
Jet Airways to offer tailor-made fare options under 'Fare Choices',1
Jet Airways to operate Boeing 777 aircraft between Mumbai - Dubai,1
Jet Airways to operate Boeing 777 aircraft on Mumbai - Singapore route to meet growing demand,1
Jet Airways introduces 'Priority Advantage' service for Economy guests,1
Jet Airways enhances 'Seat Select' feature,0
Jet Airways records fifth consecutive profitable quarter; posts Rs.126 cr net profit in Q1 of FY17,0
Jet Airways to increase capacity on Mumbai - Amsterdam route by deploying Boeing 777 aircraft,1
Jet Airways enhances connectivity to North America and Europe with new flight schedule to Paris,1
Jet Airways appoints Jayaraj Shanmugam as Chief Commercial Officer,0
Jet Airways to equip pilots on Boeing 737 fleet with iPads,0
Jet Airways' Onam feast on International flights between Kerala and the Gulf,1
Jet Airways introduces next-generation in-flight entertainment with wireless streaming service,0
"Delta, Virgin Atlantic and Jet Airways expand cooperation with India - United States codeshare via London Heathrow",0
Jet Airways expands India - UAE services,0
